,Super-class0,Super-class1,Super-class2,Super-class3,Super-class4
1,mir-0,mir-3,mir-1,mir-8,mir-7
2,mir-4,mir-10,mir-2,mir-9,mir-16
3,mir-5,mir-16,mir-10,mir-13,mir-21
4,mir-8,mir-22,mir-15,mir-15,mir-25
5,mir-16,mir-26,mir-16,mir-18,mir-33
6,mir-17,mir-27,mir-24,mir-20,mir-36
7,mir-20,mir-30,mir-31,mir-23,mir-37
8,mir-21,mir-34,mir-32,mir-25,mir-42
9,mir-22,mir-35,mir-33,mir-27,mir-43
10,mir-24,mir-39,mir-34,mir-28,mir-46
11,mir-26,mir-49,mir-35,mir-35,mir-48
12,mir-31,mir-52,mir-43,mir-41,mir-50
13,mir-33,mir-60,mir-45,mir-48,mir-53
14,mir-37,mir-66,mir-52,mir-49,mir-54
15,mir-39,mir-68,mir-54,mir-52,mir-58
16,mir-40,mir-74,mir-55,mir-54,mir-59
17,mir-44,mir-76,mir-57,mir-57,mir-64
18,mir-45,mir-80,mir-68,mir-62,mir-65
19,mir-49,mir-81,mir-81,mir-63,mir-66
20,mir-51,mir-82,mir-82,mir-64,mir-69
21,mir-54,mir-83,mir-83,mir-65,mir-70
22,mir-59,mir-86,mir-84,mir-69,mir-72
23,mir-64,mir-95,mir-88,mir-70,mir-73
24,mir-72,mir-96,mir-91,mir-71,mir-77
25,mir-77,mir-98,mir-98,mir-72,mir-78
26,mir-78,mir-107,mir-99,mir-75,mir-84
27,mir-83,mir-115,mir-105,mir-79,mir-91
28,mir-86,mir-116,mir-107,mir-80,mir-93
29,mir-89,mir-118,mir-110,mir-85,mir-101
30,mir-94,mir-121,mir-118,mir-91,mir-103
31,mir-98,mir-130,mir-120,mir-102,mir-105
32,mir-104,mir-133,mir-122,mir-105,mir-106
33,mir-106,mir-134,mir-124,mir-107,mir-113
34,mir-111,mir-140,mir-125,mir-112,mir-125
35,mir-113,mir-144,mir-134,mir-119,mir-127
36,mir-118,mir-147,mir-136,mir-120,mir-129
37,mir-126,mir-150,mir-138,mir-125,mir-132
38,mir-128,mir-153,mir-145,mir-126,mir-135
39,mir-131,mir-156,mir-152,mir-138,mir-138
40,mir-135,mir-158,mir-154,mir-142,mir-142
41,mir-138,mir-167,mir-158,mir-146,mir-145
42,mir-139,mir-170,mir-162,mir-151,mir-146
43,mir-140,mir-172,mir-167,mir-155,mir-151
44,mir-144,mir-175,mir-169,mir-156,mir-152
45,mir-151,mir-188,mir-180,mir-159,mir-157
46,mir-155,mir-189,mir-181,mir-160,mir-160
47,mir-156,mir-192,mir-183,mir-161,mir-162
48,mir-158,mir-194,mir-186,mir-163,mir-165
49,mir-164,mir-199,mir-189,mir-170,mir-168
50,mir-169,mir-203,mir-191,mir-171,mir-178
51,mir-170,mir-205,mir-192,mir-173,mir-183
52,mir-177,mir-208,mir-193,mir-175,mir-191
53,mir-183,mir-209,mir-194,mir-180,mir-192
54,mir-195,mir-216,mir-197,mir-182,mir-198
55,mir-196,mir-218,mir-209,mir-183,mir-199
56,mir-202,mir-219,mir-219,mir-194,mir-201
57,mir-212,mir-226,mir-220,mir-197,mir-204
58,mir-224,mir-234,mir-227,mir-207,mir-214
59,mir-226,mir-235,mir-238,mir-208,mir-219
60,mir-228,mir-236,mir-245,mir-212,mir-220
61,mir-230,mir-240,mir-252,mir-221,mir-221
62,mir-234,mir-241,mir-254,mir-222,mir-226
63,mir-240,mir-242,mir-260,mir-234,mir-227
64,mir-249,mir-246,mir-262,mir-239,mir-229
65,mir-251,mir-247,mir-267,mir-245,mir-233
66,mir-252,mir-252,mir-268,mir-246,mir-235
67,mir-253,mir-257,mir-280,mir-247,mir-243
68,mir-254,mir-258,mir-286,mir-248,mir-245
69,mir-256,mir-259,mir-287,mir-249,mir-251
70,mir-257,mir-265,mir-289,mir-250,mir-252
71,mir-260,mir-268,mir-290,mir-253,mir-254
72,mir-261,mir-270,mir-295,mir-254,mir-257
73,mir-262,mir-279,mir-299,mir-256,mir-260
74,mir-263,mir-290,mir-305,mir-259,mir-262
75,mir-267,mir-291,mir-306,mir-261,mir-263
