,Super-class0,Super-class1,Super-class2,Super-class3,Super-class4
0,1880,248,189,49,601
1,89,25,26,248,287
2,249,252,263,252,356
3,5,251,106,251,194
4,271,1874,264,200,89
5,1855,256,181,1838,507
6,1856,355,1848,165,4
7,352,354,1850,326,465
8,285,882,1849,498,168
9,216,90,265,26,593
10,601,250,665,307,187
11,257,91,1841,1857,204
12,483,358,176,92,1879
13,29,1382,6,328,179
14,328,233,270,17,178
15,4,486,269,16,1120
16,187,273,1096,254,186
17,165,206,89,321,180
18,714,1860,615,592,271
19,6,309,612,1834,329
20,1371,942,252,306,2
21,3,313,251,255,0
22,355,357,595,10,1
23,226,1879,585,305,249
24,91,231,316,1395,266
25,269,1299,191,168,470
26,507,10,1212,1458,352
27,90,141,271,224,14
28,480,480,747,1855,15
29,265,182,248,1856,1211
30,1458,1484,735,202,1722
31,26,223,666,1858,1382
32,354,1750,187,233,339
33,1857,1534,489,296,1122
34,332,1509,580,249,1129
35,270,222,1090,300,1855
36,1,15,200,1845,496
37,2,89,182,869,17
38,264,1866,1092,301,16
39,0,29,714,483,1461
40,256,14,478,6,78
41,1509,200,614,225,1388
42,339,512,276,1374,1856
43,263,487,50,1840,235
44,202,100,273,3,487
45,200,930,479,1126,315
46,164,1447,1511,195,231
47,1122,465,206,500,215
48,592,1028,758,315,511
49,149,603,1880,358,592
50,1863,645,1395,15,188
51,100,558,1752,283,217
52,1838,1837,1104,14,218
53,189,472,12,1844,1762
54,495,183,305,250,3
55,1861,1664,338,339,268
56,1750,1130,11,1517,1091
57,273,613,328,601,267
58,92,1723,523,295,313
59,1091,380,219,316,20
60,305,1055,1857,208,21
61,25,1495,337,256,672
62,1834,1532,321,89,338
63,466,243,224,335,328
64,9,184,186,1846,269
65,104,242,507,1878,869
66,14,471,1723,599,1725
67,671,1091,357,132,714
68,15,1525,300,1880,341
69,325,1724,301,341,165
70,132,379,23,1839,337
71,250,1676,283,25,1761
72,324,1457,17,180,270
73,350,1863,16,867,91
74,1837,564,22,187,357
75,24,261,285,868,326
76,498,282,212,1750,308
77,286,482,483,1447,1858
78,487,28,1724,1334,300
79,107,162,1858,1877,90
80,52,885,173,1215,531
81,1754,485,174,234,301
82,1858,625,222,1125,241
83,336,1292,7,108,167
84,145,1251,8,1763,307
85,321,810,315,499,1880
86,1527,626,223,239,671
87,17,484,253,1497,224
88,16,1765,1105,183,225
89,318,207,74,357,22
90,248,39,303,1847,492
91,319,1293,1566,1121,283
92,229,1069,539,626,254
93,288,1528,1877,253,321
94,376,1307,538,625,354
95,337,1097,667,351,494
96,192,1527,226,758,189
97,1130,1768,216,145,10
98,482,76,1213,164,255
99,1522,402,299,71,358
100,180,945,592,294,1137
101,1299,1201,215,182,1136
102,1523,1154,9,485,1138
103,1769,464,295,342,1395
104,1718,1628,218,175,195
105,1125,75,1856,484,216
106,491,1010,250,600,26
107,1387,144,1106,274,316
108,1126,1504,217,219,490
109,261,1158,221,1861,355
110,631,311,1855,1512,1509
111,276,1659,668,596,1857
112,1010,147,1102,184,518
113,603,1572,188,265,906
114,316,497,175,1496,5
115,521,791,1725,1527,868
116,503,1014,327,479,867
117,1502,456,673,1095,1297
118,472,288,195,230,1838
119,1503,1073,296,1106,219
120,1154,1335,136,597,529
121,499,1095,306,1577,286
122,302,323,168,1722,1298
123,338,1354,1517,107,274
124,1878,559,179,598,1055
125,1447,996,1095,192,1387
126,183,1769,233,332,1214
127,1148,1305,220,96,580
128,1040,655,255,299,212
129,1121,1451,297,163,1532
130,379,1118,325,1842,506
131,1090,917,180,511,1132
132,471,1764,324,1103,673
133,380,941,298,147,599
134,1866,669,596,667,488
135,1127,474,599,1874,1106
136,754,1071,1497,149,1489
137,184,493,1215,1513,253
138,327,1433,358,1534,139
139,513,1781,1512,178,667
140,177,1598,105,36,1872
141,643,1717,91,521,1096
142,140,287,90,1297,23
143,1353,641,254,1872,483
144,930,605,213,645,1100
145,55,54,600,852,1092
146,205,583,10,1758,1104
147,54,620,613,1098,351
148,1129,1833,132,480,208
149,1495,803,137,1383,1723
150,1725,542,1879,1323,183
151,651,1131,178,1293,1875
152,1390,1406,1529,856,336
153,1073,1835,852,1754,1458
154,991,1215,243,1292,1664
155,1072,529,1447,376,166
156,530,1082,1127,207,350
157,108,1487,1323,50,184
158,1630,856,335,1127,478
159,1396,1274,1791,189,1849
160,1098,995,274,1759,1848
161,1292,143,1125,285,1850
162,645,81,1860,1525,1293
163,1297,836,1337,1097,1292
164,1293,118,518,1028,192
165,294,517,1525,503,882
166,1875,1544,1577,1154,1512
167,63,1114,71,1100,206
168,65,894,1299,404,1212
169,64,604,485,1833,1103
170,473,1112,1103,767,1457
171,1632,1537,1330,836,1462
172,1701,1605,484,906,261
173,518,473,404,1158,248
174,1123,1529,194,406,335
175,1642,82,1349,1072,1294
176,508,133,1285,1396,257
177,82,1108,96,22,1105
178,427,1786,1366,378,1877
179,247,1703,641,823,596
180,81,475,427,1503,6
181,1140,1294,598,1402,28
182,78,88,317,1860,1374
183,1097,1153,83,1230,598
184,1139,395,767,37,600
185,450,276,1203,243,1763
